time;YQR060
21490808;11.6777
21490811;10.171
21490812;10.2026
21490815;11.0403
21490820;11.9253
21490822;11.3405
21490824;10.8137
21490826;10.8137
21490827;11.4406
21490828;11.1825
21490832;12.4838
21490835;11.9464
21490837;11.9622
21490839;12.0992
21490840;11.9042
21490845;12.705
21490846;12.4574
21490847;13.0369
21490850;13.0316
21490851;13.2634
21490854;13.8746
21490860;14.6227
21490862;15.0546
21490863;14.5436
21490864;14.4804
21490871;15.2127
21490872;15.2864
21490907;15.2864
21490908;15.2917
21490909;15.2864
21490927;15.2864
21490928;15.2917
21490929;15.2864
21490958;15.2917
21490978;15.2864
21490979;15.2812
21491005;15.2864
21491006;15.2917
21491007;15.2812
21491008;15.2917
21491026;15.2917
21491027;15.2864
21491059;15.2864
21491060;13.9799
21491061;10.4239
21491062;9.10155
21491067;12.3204
21491069;11.2299
21491070;11.035
21491072;13.2108
21491073;10.1657
21491076;12.6207
21491077;13.1475
21491078;13.7165
21491079;13.411
21491081;13.2476
21491082;14.1169
21491085;14.6121
21491086;15.2443
21491089;11.8516
21491092;12.4205
21491094;11.8937
21491095;11.2563
21491096;10.25
21491099;9.86545
21491100;11.3722
21491101;7.22607
21491109;6.73085
21491112;6.88363
21491115;6.73085
21491119;6.73085
21491122;6.73085
21491130;6.72558
21491140;6.73085
21491146;6.73085
21491147;7.21026
21491151;8.74858
21491155;11.0297
21491157;12.2256
21491158;10.9296
21491164;8.87502
21491165;8.43249
21491167;9.02253
21491169;7.70547
21491172;7.26294
21491174;7.01534
21491177;7.1207
21491178;7.12597
21491180;6.76773
21491181;6.97846
21491182;6.88363
21491186;6.91524
21491188;6.773
21491190;8.38507
21491191;9.44399
21491193;8.05844
21491194;8.78546
21491198;8.30078
21491199;8.07425
21491200;7.08382
21491201;7.50001
21491202;6.74666
21491203;6.86783
21491206;7.86879
21491221;6.83095
21491225;8.76966
21491229;8.31132
21491230;7.97942
21491231;8.22703
21491232;8.5958
21491236;7.57904
21491238;8.11113
21491240;7.96888
21491244;7.97942
21491247;8.05318
21491251;8.65375
21491254;8.1322
21491258;7.99523
21491262;7.98996
21491264;8.60107
21491266;7.79503
21491268;8.21122
21491270;8.02684
21491271;8.12693
21491272;8.37454
21491273;8.40615
21491274;8.34293
21491277;8.64322
21491281;7.64752
21491282;8.54839
21491283;8.12693
21491284;7.64225
21491290;8.0163
21491292;7.61065
21491296;8.97512
21491297;8.89609
21491300;8.56946
21491302;7.63172
21491303;8.50098
21491307;9.59677
21491308;9.40184
21491316;8.54839
21491318;8.13747
21491322;8.62741
21491326;7.82137
21491334;9.33862
21491347;9.02253
21491348;9.17004
21491353;8.8118
21491355;8.82761
21491358;9.30701
21491359;9.06468
21491364;8.97512
21491366;9.0436
21491375;9.5915
21491379;9.17004
21491382;7.93728
21491383;8.33239
21491388;8.11639
21491390;8.24283
21491394;7.34197
21491395;7.42099
21491397;8.25337
21491403;7.83191
21491406;7.56323
21491409;7.20499
21491416;7.86352
21491421;9.12263
21491423;8.60634
