YTR064;YTR063;YTR062;YTR061;YPR066;YPR064
25.48;25.332;25.293;25.293;2.331;2.122
25.499;25.261;25.216;25.21;2.328;2.146
25.531;25.383;25.351;25.344;2.354;2.166
25.524;25.3;25.28;25.261;2.364;2.223
25.512;25.325;25.3;25.293;2.369;2.184
25.557;25.261;25.222;25.235;2.361;2.174
25.569;25.267;25.235;25.235;2.395;2.125
25.582;25.486;25.441;25.441;2.403;2.207
25.595;25.467;25.441;25.422;2.41;2.295
25.627;25.415;25.364;25.37;2.428;2.269
25.569;25.28;25.255;25.248;2.408;2.202
25.576;25.467;25.428;25.422;2.39;2.161
25.608;25.486;25.46;25.447;2.413;2.282
25.589;25.402;25.383;25.364;2.423;2.266
25.576;25.319;25.293;25.3;2.403;2.22
25.499;25.235;25.21;25.216;2.39;2.169
25.518;25.21;25.184;25.197;2.338;2.104
25.512;25.267;25.248;25.248;2.364;2.158
25.46;25.184;25.184;25.152;2.338;2.14
25.492;25.165;25.139;25.126;2.318;2.061
25.486;25.197;25.165;25.158;2.341;2.079
25.499;25.158;25.145;25.126;2.346;2.086
25.467;25.088;25.068;25.062;2.338;2.053
25.454;25.036;25.017;25.004;2.315;2.014
25.435;25.1;25.075;25.068;2.287;1.989
25.447;25.139;25.113;25.107;2.313;2.045
25.422;25.139;25.107;25.094;2.271;2.061
25.447;25.139;25.107;25.094;2.302;2.056
25.435;25.081;25.055;25.049;2.289;2.027
25.415;25.062;25.03;25.023;2.292;2.014
25.415;25.01;25.004;24.998;2.271;1.986
25.402;24.959;24.933;24.933;2.274;1.958
25.409;24.895;24.869;24.856;2.274;1.917
25.396;24.856;24.818;24.811;2.282;1.883
25.37;24.766;24.741;24.734;2.256;1.845
25.261;24.619;24.593;24.567;2.264;1.716
25.229;24.574;24.535;24.522;2.158;1.704
25.197;24.535;24.497;24.484;2.14;1.673
25.171;24.497;24.464;24.445;2.135;1.652
22.306;22.678;22.659;22.646;2.914;0.706
22.274;22.556;22.531;22.543;2.238;0.663
22.312;22.595;22.575;22.582;2.243;0.642
22.306;22.614;22.588;22.595;2.163;0.647
22.344;22.653;22.627;22.64;2.282;0.665
22.389;22.659;22.633;22.64;2.271;0.67
22.389;22.653;22.627;22.64;2.238;0.67
22.511;22.473;22.447;22.473;2.243;0.593
22.505;22.434;22.402;22.421;2.192;0.573
22.492;22.402;22.389;22.402;2.202;0.563
22.486;22.376;22.357;22.383;2.235;0.557
22.492;22.357;22.325;22.363;2.261;0.547
22.498;22.338;22.306;22.325;2.292;0.532
22.505;22.28;22.267;22.286;2.205;0.516
22.518;22.248;22.229;22.248;2.21;0.501
22.543;22.229;22.209;22.229;2.269;0.493
22.556;22.248;22.222;22.254;2.251;0.47
22.595;23.057;23.019;23.051;2.313;0.915
22.614;23.244;23.16;23.051;2.737;2.508
22.627;23.224;23.205;23.167;2.744;2.922
22.633;23.282;23.25;23.224;1.904;2.063
22.678;23.43;23.398;23.321;2.508;1.791
22.646;23.424;23.404;23.366;2.927;3.009
22.659;23.379;23.372;23.359;1.801;1.878
22.691;23.456;23.43;23.424;1.907;1.341
22.717;23.514;23.475;23.462;2.816;2.546
22.723;23.546;23.52;23.469;2.608;2.837
22.736;23.533;23.526;23.507;1.603;1.608
22.749;23.655;23.636;23.578;2.253;1.346
22.781;23.719;23.68;23.629;2.76;2.642
22.755;23.668;23.648;23.623;1.616;1.585
22.807;23.764;23.713;23.642;2.31;1.354
22.833;23.796;23.725;23.655;2.798;2.67
22.807;23.758;23.719;23.719;1.652;1.601
22.858;23.758;23.68;23.629;2.302;1.387
22.865;23.79;23.732;23.661;2.51;2.59
22.865;23.719;23.687;23.629;1.829;1.809
22.903;23.661;23.597;23.494;2.117;1.341
22.922;23.578;23.514;23.443;2.649;2.354
22.903;23.648;23.539;23.462;2.552;2.603
22.916;23.571;23.526;23.481;1.858;1.444
22.942;23.481;23.43;23.327;2.575;2.516
22.929;23.533;23.494;23.417;2.367;2.392
22.916;23.385;23.359;23.314;2.351;2.441
22.922;22.434;22.434;22.486;1.395;0.771
22.89;22.505;22.498;22.511;2.454;0.563
22.877;22.633;22.608;22.62;1.238;0.622
25.897;30;30;28.968;2.934;2.932
26.154;22.402;22.37;22.389;2.891;1.547
26.193;22.486;22.46;22.473;2.839;0.57
26.803;22.415;22.428;22.447;2.819;0.591
25.884;24.278;24.272;24.252;2.408;0.236
25.505;22.646;22.833;22.312;2.356;0.213
